id,stageId,name
1,1,Demonstrative Pronouns
2,1,Negations & Exceptions
3,1,Question Words
4,1,Prepositions I
5,1,Prepositions II
6,1,Connectors
7,1,Miscellaneous
8,1,Types of ما
1,2,Allāh’s names & attributes
2,2,Attributes/ adjectives
3,2,Prophets and Messengers
4,2,Allāh’s signs & blessings
5,2,Deen
6,2,Faith
7,2,Deeds
8,2,The Last Day
9,2,The Present Life
10,2,Relatives
11,2,Miscellaneous
12,2,Compound Nouns
1,3,Measure II
2,3,Measure III
3,3,Measure IV
4,3,Measure V
5,3,Measure VI
6,3,Measure VII
7,3,Measure VIII
8,3,Measure IX
9,3,Measure X
10,3,Measure I Variation 1
11,3,Measure I Variation 2
12,3,Measure I Variation 3
13,3,Measure I Variation 4
14,3,Measure I Variation 5
15,3,Irregular Verbs 1
16,3,Irregular Verbs 2
17,3,Irregular Verbs 3
18,3,Irregular Verbs 4
19,3,Irregular Verbs 5